age,gender,user_id,product_id,region,device,category,price,rating,hour,dayofweek,clicked,purchased,weight
37,F,user_837,product_173,Upper West,mobile,Health & Beauty,57,4.2,0,1,1,0,0.55
40,F,user_701,product_213,Northern,mobile,Groceries,55,3.7,0,1,0,0,0.05
36,M,user_836,product_215,Western,desktop,Groceries,41,3.8,0,1,0,0,0.05
20,F,user_693,product_144,Ashanti,mobile,Clothing,206,3.6,1,1,1,0,0.55
35,F,user_230,product_56,Upper West,mobile,Health & Beauty,41,4.6,1,1,1,1,3.05
44,F,user_406,product_133,Greater Accra,mobile,Electronics,657,3.4,1,1,0,0,0.05
43,M,user_121,product_162,Eastern,desktop,Books,55,4.3,1,1,1,1,3.05
46,M,user_259,product_122,Volta,mobile,Sports,190,4.2,2,1,0,0,0.05
54,M,user_519,product_138,Western,mobile,Books,59,4.2,3,1,1,0,0.55
47,M,user_311,product_133,Central,mobile,Electronics,657,3.4,3,1,1,0,0.55
60,F,user_46,product_227,Northern,desktop,Books,69,4.3,3,1,0,0,0.05
65,M,user_506,product_221,Greater Accra,mobile,Health & Beauty,95,4.1,3,1,1,1,3.05
54,F,user_931,product_140,Upper East,mobile,Electronics,670,3.4,3,1,1,0,0.55
36,M,user_76,product_162,Volta,mobile,Books,55,4.3,4,1,1,1,3.05
55,M,user_409,product_63,Central,mobile,Home Appliances,696,4.2,4,1,1,1,3.05
38,M,user_30,product_244,Greater Accra,mobile,Health & Beauty,105,3.5,4,1,0,0,0.05
50,F,user_599,product_218,Upper East,mobile,Electronics,694,3.7,4,1,1,1,3.05
45,F,user_224,product_218,Western,mobile,Electronics,694,3.7,5,1,0,0,0.05
28,F,user_300,product_13,Western,mobile,Sports,114,3.9,5,1,0,0,0.05
57,F,user_909,product_57,Western,mobile,Health & Beauty,60,4.1,6,1,1,1,3.05
41,F,user_780,product_244,Western,mobile,Health & Beauty,105,3.5,7,1,1,0,0.55
65,M,user_301,product_179,Western,mobile,Books,52,3.8,7,1,0,0,0.05
58,F,user_970,product_42,Upper East,desktop,Groceries,50,4.7,8,1,0,0,0.05
65,M,user_886,product_125,Western,mobile,Clothing,140,3.8,8,1,0,0,0.05
30,M,user_160,product_94,Central,mobile,Health & Beauty,73,4.1,8,1,1,0,0.55
59,F,user_943,product_218,Western,mobile,Electronics,694,3.7,9,1,1,0,0.55
35,M,user_262,product_110,Upper West,mobile,Groceries,42,3.0,9,1,0,0,0.05
39,M,user_686,product_113,Upper East,mobile,Groceries,32,4.4,9,1,1,0,0.55
37,M,user_452,product_170,Ashanti,mobile,Groceries,47,3.9,10,1,0,0,0.05
43,F,user_161,product_144,Volta,mobile,Clothing,206,3.6,10,1,1,0,0.55
44,F,user_191,product_36,Upper West,mobile,Electronics,388,3.6,10,1,0,0,0.05
63,M,user_122,product_75,Ashanti,mobile,Sports,202,4.9,11,1,1,0,0.55
31,F,user_759,product_144,Western,mobile,Clothing,206,3.6,11,1,0,0,0.05
18,M,user_851,product_84,Western,mobile,Health & Beauty,75,3.9,11,1,0,0,0.05
40,F,user_559,product_26,Upper East,mobile,Sports,220,3.3,11,1,1,0,0.55
23,M,user_416,product_184,Greater Accra,mobile,Home Appliances,798,3.7,11,1,1,0,0.55
51,M,user_362,product_133,Ashanti,desktop,Electronics,657,3.4,11,1,0,0,0.05
41,M,user_308,product_140,Central,desktop,Electronics,670,3.4,12,1,1,0,0.55
57,M,user_289,product_170,Ashanti,mobile,Groceries,47,3.9,12,1,0,0,0.05
26,F,user_499,product_26,Volta,desktop,Sports,220,3.3,12,1,1,0,0.55
35,M,user_649,product_170,Upper West,mobile,Groceries,47,3.9,12,1,0,0,0.05
37,F,user_450,product_199,Upper East,desktop,Health & Beauty,74,5.0,13,1,1,0,0.55
58,M,user_365,product_133,Western,mobile,Electronics,657,3.4,13,1,1,0,0.55
31,F,user_794,product_114,Western,mobile,Home Appliances,1060,3.7,13,1,0,0,0.05
43,F,user_73,product_125,Upper East,mobile,Clothing,140,3.8,13,1,1,0,0.55
56,M,user_36,product_43,Central,mobile,Home Appliances,922,4.0,14,1,0,0,0.05
57,M,user_992,product_108,Ashanti,mobile,Clothing,161,4.5,14,1,0,0,0.05
65,M,user_782,product_84,Upper West,mobile,Health & Beauty,75,3.9,14,1,0,0,0.05
42,F,user_798,product_57,Upper East,mobile,Health & Beauty,60,4.1,15,1,0,0,0.05
52,F,user_532,product_36,Ashanti,mobile,Electronics,388,3.6,15,1,0,0,0.05
27,F,user_712,product_144,Western,mobile,Clothing,206,3.6,16,1,1,0,0.55
25,F,user_694,product_207,Greater Accra,mobile,Home Appliances,580,4.5,16,1,1,0,0.55
60,F,user_389,product_163,Greater Accra,desktop,Home Appliances,977,3.8,16,1,1,0,0.55
47,F,user_489,product_43,Greater Accra,mobile,Home Appliances,922,4.0,17,1,0,0,0.05
26,F,user_678,product_198,Western,mobile,Electronics,732,4.0,17,1,1,0,0.55
24,F,user_778,product_144,Greater Accra,desktop,Clothing,206,3.6,17,1,1,0,0.55
53,M,user_242,product_84,Upper East,mobile,Health & Beauty,75,3.9,18,1,1,1,3.05
53,F,user_774,product_144,Central,desktop,Clothing,206,3.6,19,1,1,1,3.05
43,M,user_881,product_133,Greater Accra,mobile,Electronics,657,3.4,19,1,0,0,0.05
39,F,user_826,product_57,Central,mobile,Health & Beauty,60,4.1,19,1,1,0,0.55
50,M,user_382,product_122,Greater Accra,mobile,Sports,190,4.2,19,1,0,0,0.05
45,M,user_612,product_33,Upper East,mobile,Groceries,43,3.6,20,1,1,0,0.55
64,M,user_429,product_243,Western,mobile,Groceries,45,4.4,20,1,1,0,0.55
62,F,user_885,product_144,Eastern,mobile,Clothing,206,3.6,20,1,0,0,0.05
58,M,user_147,product_187,Northern,mobile,Sports,165,3.9,20,1,1,0,0.55
58,M,user_265,product_113,Greater Accra,desktop,Groceries,32,4.4,20,1,1,0,0.55
49,M,user_427,product_138,Northern,mobile,Books,59,4.2,21,1,0,0,0.05
24,F,user_488,product_99,Upper West,mobile,Clothing,174,4.9,21,1,0,0,0.05
49,F,user_402,product_184,Upper West,mobile,Home Appliances,798,3.7,21,1,0,0,0.05
29,F,user_190,product_104,Volta,mobile,Health & Beauty,43,4.4,22,1,1,0,0.55
29,M,user_919,product_56,Upper East,mobile,Health & Beauty,41,4.6,22,1,0,0,0.05
50,F,user_744,product_84,Eastern,desktop,Health & Beauty,75,3.9,22,1,1,1,3.05
47,F,user_131,product_138,Volta,mobile,Books,59,4.2,23,1,0,0,0.05
62,F,user_885,product_184,Eastern,mobile,Home Appliances,798,3.7,0,2,1,0,0.55
26,F,user_864,product_4,Eastern,mobile,Health & Beauty,83,4.0,0,2,1,1,3.05
52,F,user_225,product_184,Volta,mobile,Home Appliances,798,3.7,0,2,0,0,0.05
25,F,user_536,product_100,Upper East,mobile,Clothing,117,3.3,0,2,1,1,3.05
64,M,user_174,product_144,Western,mobile,Clothing,206,3.6,1,2,1,0,0.55
27,M,user_13,product_220,Upper East,mobile,Electronics,743,3.5,1,2,1,0,0.55
41,M,user_844,product_247,Western,mobile,Electronics,752,4.4,1,2,1,0,0.55
54,F,user_220,product_121,Upper West,mobile,Home Appliances,947,4.1,1,2,0,0,0.05
19,F,user_421,product_125,Northern,mobile,Clothing,140,3.8,2,2,1,0,0.55
25,M,user_408,product_175,Ashanti,desktop,Groceries,41,4.5,3,2,1,0,0.55
44,F,user_191,product_140,Upper West,mobile,Electronics,670,3.4,3,2,1,1,3.05
64,F,user_106,product_37,Western,mobile,Groceries,60,3.3,4,2,1,0,0.55
64,M,user_379,product_242,Greater Accra,desktop,Health & Beauty,79,4.7,5,2,1,0,0.55
30,F,user_685,product_151,Central,desktop,Sports,218,3.5,5,2,1,0,0.55
23,F,user_944,product_138,Greater Accra,mobile,Books,59,4.2,5,2,0,0,0.05
37,F,user_19,product_2,Upper East,mobile,Health & Beauty,51,4.3,5,2,1,1,3.05
44,F,user_981,product_248,Central,mobile,Home Appliances,850,3.8,6,2,0,0,0.05
